Using Device: mps and False
Training and Testing Data Loaded!
Epoch 1
-----------------------
loss: 0.197587  [17500/60000]
loss: 0.065948  [17600/60000]
loss: 0.987175  [17700/60000]
loss: 0.156999  [17800/60000]
loss: 0.249913  [17900/60000]
loss: 0.350278  [18000/60000]
loss: 0.186253  [18100/60000]
loss: 0.189428  [18200/60000]
loss: 0.010731  [18300/60000]
loss: 0.135992  [18400/60000]
loss: 0.767939  [18500/60000]
loss: 0.226133  [18600/60000]
loss: 0.652194  [18700/60000]
loss: 0.027381  [18800/60000]
loss: 1.971128  [18900/60000]
loss: 0.235014  [19000/60000]
loss: 0.014824  [19100/60000]
loss: 0.046421  [19200/60000]
loss: 0.091819  [19300/60000]
loss: 0.074010  [19400/60000]
loss: 0.001459  [19500/60000]
loss: 0.344540  [19600/60000]
loss: 0.301662  [19700/60000]
loss: 0.022154  [19800/60000]
loss: 0.003556  [19900/60000]
loss: 0.010031  [20000/60000]
loss: 5.246031  [20100/60000]
loss: 0.110835  [20200/60000]
loss: 0.340145  [20300/60000]
loss: 0.027501  [20400/60000]
loss: 0.093586  [20500/60000]
loss: 1.248941  [20600/60000]
loss: 0.354906  [20700/60000]
loss: 0.110095  [20800/60000]
loss: 0.321762  [20900/60000]
loss: 0.455979  [21000/60000]
loss: 0.165257  [21100/60000]
loss: 0.036628  [21200/60000]
loss: 0.059026  [21300/60000]
loss: 0.016647  [21400/60000]
loss: 0.109318  [21500/60000]
loss: 0.018265  [21600/60000]
loss: 2.865481  [21700/60000]
loss: 0.003483  [21800/60000]
loss: 0.028861  [21900/60000]
loss: 0.200651  [22000/60000]
loss: 0.098804  [22100/60000]
loss: 2.000702  [22200/60000]
loss: 0.517937  [22300/60000]
loss: 1.117442  [22400/60000]
loss: 0.019312  [22500/60000]
loss: 0.001191  [22600/60000]
loss: 0.017094  [22700/60000]
loss: 1.968502  [22800/60000]
loss: 0.004901  [22900/60000]
loss: 0.002771  [23000/60000]
loss: 2.458398  [23100/60000]
loss: 0.428459  [23200/60000]
loss: 0.088837  [23300/60000]
loss: 0.979526  [23400/60000]
loss: 0.045806  [23500/60000]
loss: 0.070818  [23600/60000]
loss: 0.454461  [23700/60000]
loss: 0.005866  [23800/60000]
loss: 0.094474  [23900/60000]
loss: 0.096384  [24000/60000]
loss: 0.031004  [24100/60000]
